source,target,value,time
ZUG,STOCKTON CROP PROTECTION AG,1,2025
ZUG,KASEYA ENTERPRISES GLOBAL GMBH,1,2025
ZUG,FMC SWITZERLAND I GMBH,1,2025
ZUG,C&A AG,1,2025
ZUG,HELLER STERN HOLDING AG,1,2025
ZUG,SWISS EDUCATION GROUP S.A.,1,2025
ZUG,ARTICHOKE HOLDING AG,1,2025
ZUG,AFRIMET RESOURCES AG,1,2025
ZUG,CILAG HOLDING AG,1,2025
ZUG,INTERNEXCO GMBH,1,2025
ZUG,MFD INVESTMENT HOLDINGS S.A.,1,2025
ZUG,JNTL CONSUMER HEALTH I (SWITZERLAND) GMBH,1,2025
ZUG,PRECIOUS WOODS HOLDING LTD.,1,2025
ZUG,MULTIGRAIN TRADING AG,1,2025
ZUG,EUROCHEM GROUP AG,1,2025
ZUG,CSN MINING INTERNATIONAL GMBH,1,2025
ZUG,BCB MARKETS (SWITZERLAND) SARL,1,2025
ZUG,PKMG & PARTNERS,1,2025
ZUG,BLUEQUEST RESOURCES AG,1,2025
ZUG,K&K GROUP AG,1,2025
ZUG,SCHWAB IMMOBILIEN AG,1,2025
ZUG,INTERTRUST GROUP HOLDING GMBH,1,2025
REINACH,ARCHROMA PAPER GMBH,1,2025
REINACH,ARCHROMA EMULSIONS GMBH,1,2025
REINACH,ROSSI INTERNATIONAL A.G.,1,2025
REINACH,ARCHROMA TEXTILES GMBH,1,2025
REINACH,HABASIT INTERNATIONAL AG,1,2025
ST. GALLEN,MAESTRO HERRERO GMBH,1,2025
ST. GALLEN,VIFOR PHARMA PARTICIPATIONS LTD.,1,2025
ST. GALLEN,PICANTE GMBH,1,2025
ST. GALLEN,SALZMANN A.G,1,2025
ST. GALLEN,NUESCH DEVELOPMENT AG,1,2025
ST. GALLEN,BUHLER & SCHERLER AG,1,2025
ST. GALLEN,RAIFFEISEN SWITZERLAND COOPERATIVE,1,2025
ST. GALLEN,SPORTRADAR AG,1,2025
BERNA,HOGREFE AG,1,2025
BERNA,MOHANJI INTERNATIONAL FOUNDATION,1,2025
BERNA,RECYCLEAN SARL,1,2025
BERNA,HOGREFE HOLDING AG,1,2025
BERNA,SIMATEC AG,1,2025
STANS,ROSEN SWISS AG,1,2025
STANS,METIS HOLDING GMBH,1,2025
STANS,SOFTWAREONE AG,1,2025
STANS,ROSEN INTERNATIONAL (SWITZERLAND) AG,1,2025
AARBURG,FRANKE FOODSERVICE SYSTEMS AG,1,2025
AARBURG,FRANKE HOLDING AG,1,2025
BASEL,SARABET AG,1,2025
BASEL,MEDARTIS AG,1,2025
BASEL,CAMLOG BIOTECHNOLOGIES GMBH,1,2025
BASEL,SOCIMBAL AG,1,2025
BASEL,PANALPINA MANAGEMENT AG,1,2025
BASEL,KLYBECK LIFE SCIENCES AG,1,2025
BASEL,ROCHE SAPAC LTD,1,2025
BASEL,SOPREX AG,1,2025
BASEL,TRIMED LTD,1,2025
BASEL,HABASIT AG,1,2025
BASEL,UBS FUND MANAGEMENT (SWITZERLAND) AG ON BEHALF OF ZURICH INVEST INSTITUTIONAL FUNDS - ZIF AKTIEN EM - CITIBANK DTVM SA,1,2025
BASEL,UBS FUND MANAGEMENT (SWITZERLAND) AG FOR ZURICH INVEST INSTITUTIONAL FUNDS-ZIF AKTIEN EMERGING M PAS - CITIBANK DTVM SA,1,2025
BASEL,BANK J SAFRA SARASIN SA,1,2025
BAAR,MEDELA INVEST AG,1,2025
BAAR,MAX TRADE SERVICE AG,1,2025
BAAR,VENTURA TRADING (SCHWEIZ) AG,1,2025
BAAR,GLOBAL ECO RESCUE AG,1,2025
BAAR,PAOLINO GRAND CRU GMBH,1,2025
BAAR,KEYROCK CH GMBH,1,2025
BAAR,GLOBAL RECOVERY ALLIANCE LTD,1,2025
BAAR,ARGO-HYTOS GROUP AG,1,2025
BAAR,MEDELA HOLDING AG,1,2025
BAAR,MEDMIX GROUP AG,1,2025
BAAR,DENTATOUR AG,1,2025
BAAR,SONOCO INTERNATIONAL HOLDINGS GMBH,1,2025
BAAR,SIKA SERVICES AG,1,2025
BAAR,ALDO GROUP INTERNATIONAL AG,1,2025
BAAR,ACRON SWITZERLAND AG,1,2025
BAAR,WEATHERFORD SWITZERLAND TRADING AND DEVELOPMENT GMBH,1,2025
BAAR,BIONOVATICS AG,1,2025
BAAR,PARTNERS GROUP HOLDING AG,1,2025
BAAR,OTTX.AG,1,2025
BAAR,G-ZAG AG,1,2025
BAAR,EMR EMERSON HOLDINGS (SWITZERLAND) GMBH,1,2025
BAAR,ZASSO GROUP AG,1,2025
BAAR,WEATHERFORD PRODUCTS GMBH,1,2025
BAAR,SUIBRA CONSULTING AG,1,2025
BAAR,SANLAR HOLDING AG,1,2025
BAAR,SATISLOH AG,1,2025
BAAR,WEATHERFORD SOUTH AMERICA GMBH,1,2025
BAAR,SIKA FINANZ AG,1,2025
BAAR,ID SOURCING AG,1,2025
BAAR,FORBO FINANZ AG,1,2025
GENEVE,BUREAU VAN DIJK ELECTRONIC PUBLISHING LTD,1,2025
GENEVE,BAYANA ENTERPRISE LIMITED SOCIEDAD ANONIMA,1,2025
GENEVE,TEOXANE SA,1,2025
GENEVE,AMPURIA COSMETIQUES ET PARFUMS SARL,1,2025
GENEVE,MIRABAUD SCA,1,2025
GENEVE,DECISAO FINANCE E INTERMEDIACAO LTDA,1,2025
GENEVE,PNK DISTRIBUTION INTERNATIONALE SA,1,2025
